                                                           Список баз данных
                 Им\xFF                  |   Владелец   | Кодировк |     LC_COLLATE      |      LC_CTYPE       |        Права доступа         
 21st18.08.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st18.08.20(1)                        | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st18.08.20(2)                        | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st21.08.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st21.08.20(1)                        | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st21.08.20(10)                       | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st21.08.20(11)                       | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st21.08.20(12)                       | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st21.08.20(13)                       | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st21.08.20(14)                       | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st21.08.20(15)                       | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st21.08.20(16)                       | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st21.08.20(17)                       | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st21.08.20(18)                       | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st21.08.20(2)                        | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st21.08.20(3)                        | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st21.08.20(4)                        | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st21.08.20(5)                        | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st21.08.20(6)                        | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st21.08.20(7)                        | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st21.08.20(8)                        | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st21.08.20(9)                        | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st22.11.19                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st29.09.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 21st31.07.19                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 24st                                   | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 24st22.01.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 24st22.01.20ons                        | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 BD_backup2                             | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 BD_learning                            | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 DB_price                               | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 ENK                                    | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 Excel                                  | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 GKO_OKS_2019                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 GKO_ZU_2019                            | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 GKO_ZU_2019_ver2                       | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 GKO_ZU_2019_ver2copy                   | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 GKO_ZU_2019_ver2copy2                  | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 GKO_ZU_2019_ver3                       | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 OKS201118                              | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 OOT110518                              | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 OOT_24st                               | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 Pomicheniy_2020                        | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 Pomicheniy_2020 (Test IO)              | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 Pomicheniy_2020(osnovnaya)             | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 Soorusheniy_2020                       | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 Sooruzheniy(predvaritelniy)_01.08.2020 | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 ZNP_D                                  | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 ZNPv3_1                                | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 ZNPv3_2                                | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 ZU_obuchenie                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 Zdaniy_2020                            | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 Zdaniya_2020                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 bbk                                    | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 bdnew1                                 | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 postgres                               | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 template0                              | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | =c/postgres          +
                                        |          |      |                     |                     | postgres=CTc/postgres
 template1                              | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | =c/postgres          +
                                        |          |      |                     |                     | postgres=CTc/postgres
(155 строк)

